Category,Company,Parent_Group,Focus_Tech,Match_Score_for_Yuto
Manufacturer-Linked,Persol Excel HR,Panasonic/Persol,Embedded Soft/Control,High
Manufacturer-Linked,Mitsubishi Electric Engineering,Mitsubishi Electric,Space/Defense/CAD,High
Manufacturer-Linked,Mazda E&T,Mazda,Automotive/Whole Vehicle Design,Very High
Manufacturer-Linked,Honda Techno Fort,Honda,R&D/ワイガヤ,High
Manufacturer-Linked,Hitachi Industry & Control,Hitachi,Large Scale System/Optimization,High
Manufacturer-Linked,Yamaha Motor Engineering,Yamaha Motor,Mobility/Industrial Robot,High
Professional,Meitec,Independent,Top Tier Engineering Service,High
Professional,AKKODiS,Adecco,DX/Consulting/IT Hybrid,Very High
Professional,Artner,Independent,Transportation/Training,High
Tech-Focused,Argo Graphics,Independent,CAD/PLM/AI Implementation,High
Tech-Focused,Zuken,Independent,Electronic Design/EDA,Medium
Infrastructure,JFE Engineering (Design),JFE Steel,Plant/Structural Analysis,Medium
Infrastructure,IHI Escube,IHI,Heavy Industry DX,High
Automotive,Subaru Technology,Subaru,Safety Tech/Aerospace,High
Automotive,Toyota Technical Development (TTDC),Toyota,IP/Measurement/Design,High
